# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
   141      2     49  0.035280  0.035364  -0.000084
   142      2     50  0.034940  0.035578  -0.000638
   143      2     51  0.035600  0.034255  0.001345
   144      2     52  0.035770  0.035218  0.000552
   145      2     53  0.035600  0.035912  -0.000312
   146      2     54  0.035850  0.036418  -0.000568
   147      2     55  0.035360  0.036943  -0.001583
   148      2     56  0.036090  0.036924  -0.000834
   149      2     57  0.035360  0.037440  -0.002080
   150      2     58  0.036340  0.037681  -0.001341
   151      2     59  0.037080  0.037867  -0.000787
   152      2     60  0.038060  0.037767  0.000293
   153      2     61  0.038060  0.038225  -0.000165
   154      2     62  0.038550  0.038389  0.000161
   155      2     64  0.037320  0.038777  -0.001457
   156      2     65  0.037320  0.038631  -0.001311
   157      2     66  0.038550  0.038884  -0.000334
   158      2     67  0.039040  0.039126  -0.000086
   159      2     68  0.039040  0.039405  -0.000365
   160      2     69  0.039780  0.039954  -0.000174
   161      2     70  0.040760  0.040319  0.000441
   162      2     71  0.040270  0.040612  -0.000342
   163      2     72  0.039290  0.040535  -0.001245
   164      2     75  0.040760  0.040453  0.000307
   165      2     76  0.041740  0.040787  0.000953
   166      2     77  0.041990  0.041433  0.000557
   167      2     78  0.043950  0.042345  0.001605
   168      2     80  0.043710  0.043591  0.000119
   169      2     81  0.043950  0.046228  -0.002278
   170      2     82  0.044940  0.044934  0.000006
   171      2     83  0.046160  0.044806  0.001354
   172      2     86  0.046410  0.045690  0.000720
   173      2     87  0.047390  0.046715  0.000675
   174      2     88  0.047640  0.047274  0.000366
   175      2     89  0.046160  0.047362  -0.001202
   176      2     90  0.046160  0.047596  -0.001436
   177      2     91  0.046160  0.048042  -0.001882
   178      2     93  0.050590  0.046426  0.004164
   179      2     94  0.051080  0.047267  0.003813
   180      2     96  0.052060  0.048461  0.003599
   181      3      1  0.025970  0.024695  0.001275
   182      3      2  0.024710  0.024995  -0.000285
   183      3      3  0.023440  0.023929  -0.000489
   184      3      4  0.022810  0.023268  -0.000458
   185      3      5  0.022050  0.022731  -0.000681
   186      3      7  0.022690  0.022640  0.000050
   187      3      8  0.022050  0.021980  0.000070
   188      3      9  0.021930  0.021701  0.000229
   189      3     10  0.022290  0.022202  0.000088
   190      3     11  0.021190  0.023442  -0.002252
   191      3     12  0.021550  0.021643  -0.000093
   192      3     13  0.020790  0.020946  -0.000156
   193      3     14  0.020910  0.020195  0.000715
   194      3     15  0.020550  0.019503  0.001047
   195      3     16  0.019150  0.018433  0.000717
   196      3     17  0.017760  0.017557  0.000203
   197      3     18  0.014470  0.014176  0.000294
   198      3     19  0.011690  0.009738  0.001952
   199      3     20  0.007900  0.004915  0.002985
   200      3     22  0.008020  0.004945  0.003075
   201      3     23  0.011310  0.009881  0.001429
   202      3     24  0.015720  0.014695  0.001025
   203      3     25  0.017880  0.017611  0.000269
   204      3     26  0.018400  0.018634  -0.000234
   205      3     27  0.019540  0.019337  0.000203
   206      3     28  0.019540  0.019331  0.000209
   207      3     29  0.020030  0.020271  -0.000241
   208      3     30  0.020160  0.020084  0.000076
   209      3     31  0.020410  0.019520  0.000890
   210      3     32  0.021170  0.020899  0.000271
   211      3     33  0.021420  0.021505  -0.000085
   212      3     34  0.022050  0.021711  0.000339
   213      3     35  0.022430  0.022164  0.000266
   214      3     36  0.022690  0.022583  0.000107
   215      3     37  0.023760  0.022867  0.000893
   216      3     38  0.023820  0.023567  0.000253
   217      3     39  0.024330  0.024432  -0.000102
   218      3     40  0.024710  0.024679  0.000031
   219      3     41  0.024450  0.024450  0.000000
   220      3     42  0.025470  0.025863  -0.000393
   221      3     43  0.025320  0.025938  -0.000618
   222      3     44  0.025680  0.026364  -0.000684
   223      3     45  0.026240  0.026773  -0.000533
   224      3     46  0.026240  0.026656  -0.000416
   225      3     47  0.026110  0.026849  -0.000739
   226      3     48  0.026730  0.027175  -0.000445
   227      3     49  0.027740  0.027853  -0.000113
   228      3     50  0.028250  0.028066  0.000184
   229      3     51  0.028630  0.026854  0.001776
   230      3     52  0.028500  0.027817  0.000683
   231      3     53  0.028230  0.028511  -0.000281
   232      3     54  0.028970  0.029017  -0.000047
   233      3     55  0.029710  0.029889  -0.000179
   234      3     56  0.029460  0.029883  -0.000423
   235      3     57  0.029710  0.030589  -0.000879
   236      3     59  0.029950  0.031304  -0.001354
   237      3     60  0.031430  0.031229  0.000201
   238      3     61  0.031430  0.031781  -0.000351
